"filename", "language", "Shell Script", "Makefile", "Markdown", "C++", "Assembly", "C", "YAML", "Perl", "JSON", "Poryasm", "Poryscript", "PowerShell", "comment", "blank", "total"
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleFactoryBattleRoom\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 1, 126
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleFactoryBattleRoom\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 284, 0, 0, 0, 38, 322
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleFactoryLobby\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 1, 140
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleFactoryLobby\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 471, 0, 0, 0, 81, 552
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleFactoryPreBattleRoom\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleFactoryPreBattleRoom\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 535, 0, 0, 0, 113, 648
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattlePalaceBattleRoom\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 1, 102
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattlePalaceBattleRoom\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 507, 0, 0, 0, 75, 582
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattlePalaceCorridor\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 1, 142
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattlePalaceCorridor\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 22, 152
